sequence,task_count,mean_key_avg_psnr,mean_key_avg_ssim,mean_key_avg_ms_ssim,mean_key_avg_lpips,mean_middle_psnr,mean_middle_ssim,mean_middle_ms_ssim,mean_middle_lpips,mean_original_middle_psnr,mean_original_middle_lpips,mean_delta_psnr_vs_original,mean_delta_lpips_vs_original,mean_payload_bytes,mean_side_mib_per_intermediate,mean_direct_total_mib_per_frame_ref
bike-packing,2,26.328800430196466,0.8554073572158813,0.9870984554290771,0.17264755815267563,25.916473118343966,0.8293547928333282,0.982256680727005,0.200758695602417,20.77412312684085,0.33045975118875504,5.142349991503119,-0.12970105558633804,173028.5,0.16501283645629883,0.34695105722421193
breakdance,2,25.790860235239457,0.8730448484420776,0.9875540137290955,0.14922528341412544,25.628597945267853,0.8625099658966064,0.9853782951831818,0.1700771301984787,20.27311074817772,0.23091258853673935,5.355487197090131,-0.06083545833826065,123729.0,0.1179971694946289,0.299935390262542
camel,2,25.609042603742274,0.8067200779914856,0.9819788783788681,0.18284589424729347,25.580679236371516,0.8029379844665527,0.9802611172199249,0.18797314167022705,21.87850517609642,0.2458496242761612,3.7021740602750945,-0.05787648260593414,228002.5,0.21744012832641602,0.3993783490943291
car-shadow,2,29.794095344163583,0.9162324965000153,0.9917899370193481,0.12768851034343243,29.52275503523562,0.9044556617736816,0.9870286881923676,0.1516941711306572,23.489480566560964,0.24805183708667755,6.033274468674655,-0.09635766595602036,214037.0,0.20412158966064453,0.38605981042855764
cows,2,24.71492091293019,0.773041233420372,0.9772167801856995,0.20523010939359665,24.705746314482965,0.7709910869598389,0.9757546186447144,0.2065528705716133,22.211390830752766,0.25222696363925934,2.4943554837302013,-0.04567409306764603,216943.0,0.2068929672241211,0.3888311879920342
dance-twirl,2,27.554268066994535,0.8404861986637115,0.9856331944465637,0.204800833016634,26.75600816925116,0.8121083378791809,0.9795947670936584,0.2491673231124878,18.425363642851067,0.38962434232234955,8.330644526400091,-0.14045701920986176,206271.5,0.1967158317565918,0.3786540525245049
goat,2,27.469378741193147,0.8619312196969986,0.9882695972919464,0.1695214807987213,27.287905475463383,0.85701584815979,0.9869190454483032,0.1752728670835495,17.199419241498894,0.4064866900444031,10.088486233964488,-0.23121382296085358,251509.0,0.23985767364501953,0.42179589441293264
gold-fish,2,33.87326763215496,0.9168008863925934,0.9855600148439407,0.06713592633605003,33.41237033283157,0.9016472697257996,0.9814539849758148,0.07908906415104866,26.858578789575244,0.14539014548063278,6.553791543256327,-0.06630108132958412,191200.0,0.182342529296875,0.3642807500647881
kite-surf,2,32.445948374745285,0.909168541431427,0.989126056432724,0.09465232864022255,32.25224322873085,0.8990445137023926,0.985666036605835,0.10872717574238777,25.02201866170409,0.2031438648700714,7.230224567026756,-0.09441668912768364,217840.5,0.2077488899230957,0.3896871106910088
motocross-jump,2,34.90515077375639,0.9651127755641937,0.995784729719162,0.07590346038341522,31.39112051507741,0.8455211520195007,0.9748647212982178,0.3004394471645355,13.738417866412604,0.6355663239955902,17.652702648664807,-0.3351268768310547,247438.5,0.2359757423400879,0.417913963108001
scooter-black,2,27.82188410009941,0.9271755069494247,0.9926993548870087,0.09516900777816772,27.336614518109712,0.9064689874649048,0.9886346757411957,0.13898934423923492,16.436703322834944,0.33968208730220795,10.89991119527477,-0.20069274306297302,246170.0,0.23476600646972656,0.41670422723763967
soapbox,2,31.489589197753585,0.9293431043624878,0.9925756007432938,0.0913489367812872,30.906670800807184,0.9114306271076202,0.9888216555118561,0.12526041641831398,21.463902947019086,0.280982106924057,9.442767853788096,-0.15572169050574303,241610.5,0.23041772842407227,0.41235594919198537
