sample,reference_gap,rate_mib_per_frame,selector_delta_adapter_all_psnr,selector_delta_adapter_middle_psnr,selector_delta_linear_all_psnr,selector_delta_linear_middle_psnr
driving,4,0.11848958333333333,-0.15197060325413148,-0.22026790420463982,-0.14684178473131126,-0.2133439991988375
driving,8,0.062065972222222224,-0.1802804287917823,-0.22121484799248847,-0.17036062103780125,-0.20973621330575298
driving,16,0.033854166666666664,-0.2876096778301154,-0.31447525772228957,-0.28545053126224573,-0.3121433794289956
meetroom,4,0.11848958333333333,-0.11145015024705174,-0.15895369488205446,-0.10445017819077762,-0.14950373260608885
meetroom,8,0.062065972222222224,-0.29388987531305943,-0.3411743742070712,-0.2670900874349478,-0.3101631910909717
meetroom,16,0.033854166666666664,-0.4522215409554988,-0.4884656047377298,-0.4224103770034482,-0.456269547669514
n3dv,4,0.11848958333333333,0.007775012386190383,0.007723013074944163,0.006602098181829774,0.0061395788990701305
n3dv,8,0.062065972222222224,0.005460986504893128,0.005656976020276261,0.011116554859171401,0.012201276544526962
n3dv,16,0.033854166666666664,0.1545368997013732,0.1661179274118325,0.13713166254710174,0.14732027128522773
robot,4,0.11870941558441558,0.08645680981740256,0.10042260480366139,0.0956381035391729,0.11282540509448324
robot,8,0.06529017857142858,-0.41179171363082645,-0.4907283482920093,-0.40148754590072144,-0.47870681927355463
robot,16,0.03561282467532467,-0.8585805902922736,-0.9320029082699506,-0.8392772963662551,-0.9110683500684829
