task_id,sequence,codec,reference_gap,target_index,base_method,keep_fraction,side_bits,keep_gaussians,payload_bytes,payload_mib_per_intermediate_frame,theoretical_bytes_without_header,theoretical_mib_without_header,byte_overhead_vs_theoretical,header_bytes,metadata_bytes,index_bytes,residual_bytes,base_psnr,bitstream_psnr,delta_psnr_vs_base
stage79_00021399,bike-packing,q12,16,9,linear,0.1,6,3686,43381,0.04137134552001953,43362.5,0.041353702545166016,18.5,18,52,7372,35939,18.747158126257794,23.691880110680053,4.944721984422259
stage79_00021399,bike-packing,q12,16,9,stage65_adapter,0.1,6,3686,43381,0.04137134552001953,43362.5,0.041353702545166016,18.5,18,52,7372,35939,18.71832432848013,22.357326802042373,3.6390024735622433
stage79_00028818,motocross-jump,q12,4,31,linear,0.1,6,3686,43381,0.04137134552001953,43362.5,0.041353702545166016,18.5,18,52,7372,35939,18.25988997574939,23.011022089581232,4.75113211383184
stage79_00028818,motocross-jump,q12,4,31,stage65_adapter,0.1,6,3686,43381,0.04137134552001953,43362.5,0.041353702545166016,18.5,18,52,7372,35939,18.284350936750318,22.786549578997217,4.502198642246899
stage79_00027028,india,q12,8,13,linear,0.1,6,3686,43381,0.04137134552001953,43362.5,0.041353702545166016,18.5,18,52,7372,35939,19.06758882783345,23.613794208460614,4.546205380627164
stage79_00027028,india,q12,8,13,stage65_adapter,0.1,6,3686,43381,0.04137134552001953,43362.5,0.041353702545166016,18.5,18,52,7372,35939,19.790705687000365,23.82693890001456,4.036233213014196
stage79_00021366,bike-packing,q12,8,39,linear,0.1,6,3686,43381,0.04137134552001953,43362.5,0.041353702545166016,18.5,18,52,7372,35939,18.24650828541061,21.51180333733941,3.265295051928799
stage79_00021366,bike-packing,q12,8,39,stage65_adapter,0.1,6,3686,43381,0.04137134552001953,43362.5,0.041353702545166016,18.5,18,52,7372,35939,19.59357702158396,21.711834089142084,2.1182570675581225
stage79_00024828,dog,q12,16,57,linear,0.1,6,3686,43381,0.04137134552001953,43362.5,0.041353702545166016,18.5,18,52,7372,35939,17.942222663262687,20.85561395661339,2.9133912933507027
stage79_00024828,dog,q12,16,57,stage65_adapter,0.1,6,3686,43381,0.04137134552001953,43362.5,0.041353702545166016,18.5,18,52,7372,35939,18.453393577997925,21.174193870228798,2.720800292230873
stage79_00021953,bmx-trees,q12,4,69,linear,0.1,6,3686,43381,0.04137134552001953,43362.5,0.041353702545166016,18.5,18,52,7372,35939,18.025474094547945,20.329858805578525,2.304384711030579
stage79_00021953,bmx-trees,q12,4,69,stage65_adapter,0.1,6,3686,43381,0.04137134552001953,43362.5,0.041353702545166016,18.5,18,52,7372,35939,18.76259807656818,20.62161883280953,1.8590207562413497
stage79_00028248,loading,q12,8,43,linear,0.1,6,3686,43381,0.04137134552001953,43362.5,0.041353702545166016,18.5,18,52,7372,35939,14.203621355192599,17.101965481233563,2.898344126040964
stage79_00028248,loading,q12,8,43,stage65_adapter,0.1,6,3686,43381,0.04137134552001953,43362.5,0.041353702545166016,18.5,18,52,7372,35939,14.708515181208464,17.489211341900315,2.7806961606918517
stage79_00022888,camel,q12,8,81,linear,0.1,6,3686,43381,0.04137134552001953,43362.5,0.041353702545166016,18.5,18,52,7372,35939,22.489052326242458,23.54115068028222,1.0520983540397637
stage79_00022888,camel,q12,8,81,stage65_adapter,0.1,6,3686,43381,0.04137134552001953,43362.5,0.041353702545166016,18.5,18,52,7372,35939,21.59513563488174,22.32469120139321,0.7295555665114719
stage79_00030005,pigs,q12,4,6,linear,0.1,6,3686,43381,0.04137134552001953,43362.5,0.041353702545166016,18.5,18,52,7372,35939,23.684025514285292,26.640184370709996,2.956158856424704
stage79_00030005,pigs,q12,4,6,stage65_adapter,0.1,6,3686,43381,0.04137134552001953,43362.5,0.041353702545166016,18.5,18,52,7372,35939,24.401265605812654,26.65032464336063,2.249059037547976
stage79_00029696,parkour,q12,8,83,linear,0.1,6,3686,43381,0.04137134552001953,43362.5,0.041353702545166016,18.5,18,52,7372,35939,16.598817972818342,18.958347701099086,2.3595297282807444
stage79_00029696,parkour,q12,8,83,stage65_adapter,0.1,6,3686,43381,0.04137134552001953,43362.5,0.041353702545166016,18.5,18,52,7372,35939,16.973858945248693,19.36582326295565,2.3919643177069574
stage79_00027304,judo,q12,16,9,linear,0.1,6,3686,43381,0.04137134552001953,43362.5,0.041353702545166016,18.5,18,52,7372,35939,24.158958063438494,30.829546460658612,6.6705883972201185
stage79_00027304,judo,q12,16,9,stage65_adapter,0.1,6,3686,43381,0.04137134552001953,43362.5,0.041353702545166016,18.5,18,52,7372,35939,23.08400204611761,26.713845844141062,3.629843798023451
stage79_00026745,horsejump-high,q12,16,41,linear,0.1,6,3686,43381,0.04137134552001953,43362.5,0.041353702545166016,18.5,18,52,7372,35939,15.603721029251016,18.98113965294887,3.377418623697853
stage79_00026745,horsejump-high,q12,16,41,stage65_adapter,0.1,6,3686,43381,0.04137134552001953,43362.5,0.041353702545166016,18.5,18,52,7372,35939,16.04432040174668,19.68391515187453,3.6395947501278485
